QueryIdx	HitIdx	Query Description	Query Cover	Per. Ident	Score (bits)	E-value	Match Description	Accession Link
11	1	ctg267_17_21961_25555_pos	76.11%	62.45%	1221	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBZ5670628?report=genbank
12	1	ctg96943_1_0_3480_pos	98.19%	56.60%	1175	0.0	non-ribosomal peptide synthetase, partial [Streptomyces	https://www.ncbi.nlm.nih.gov/protein/WP_189273891?report=genbank
12	2	ctg96943_1_0_3480_pos	96.81%	55.11%	1170	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBV8994528?report=genbank
12	3	ctg96943_1_0_3480_pos	94.66%	58.67%	1162	0.0	non-ribosomal peptide synthase/polyketide synthase [Streptomyces	https://www.ncbi.nlm.nih.gov/protein/WP_214928664?report=genbank
13	1	ctg19546_1_0_3477_neg	90.85%	52.51%	1102	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBZ5723308?report=genbank
13	2	ctg19546_1_0_3477_neg	96.72%	50.00%	1092	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBV9626224?report=genbank
14	1	ctg30724_1_0_3450_neg	99.91%	79.11%	1723	0.0	SDR family NAD(P)-dependent oxidoreductase [Alphaproteobacteria	https://www.ncbi.nlm.nih.gov/protein/TMK15357?report=genbank
14	2	ctg30724_1_0_3450_neg	99.91%	79.11%	1722	0.0	hypothetical protein AUG47_04210 [Alphaproteobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/OLE33307?report=genbank
14	3	ctg30724_1_0_3450_neg	99.91%	79.20%	1719	0.0	acyltransferase domain-containing protein, partial [Alphaproteobacteria	https://www.ncbi.nlm.nih.gov/protein/TMJ77665?report=genbank
15	1	ctg5116_1_0_3429_pos	97.81%	72.06%	1669	0.0	non-ribosomal peptide synthetase [Gemmatimonadetes bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYO49942?report=genbank
15	2	ctg5116_1_0_3429_pos	98.42%	64.61%	1500	0.0	hybrid non-ribosomal peptide synthetase/type I	https://www.ncbi.nlm.nih.gov/protein/WP_079568345?report=genbank
15	3	ctg5116_1_0_3429_pos	99.47%	61.59%	1420	0.0	hybrid non-ribosomal peptide synthetase/type I	https://www.ncbi.nlm.nih.gov/protein/WP_008971883?report=genbank
16	1	ctg101639_1_0_3390_neg	98.50%	51.85%	1173	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBS0419137?report=genbank
16	2	ctg101639_1_0_3390_neg	99.29%	50.99%	1153	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBR8830448?report=genbank
16	3	ctg101639_1_0_3390_neg	98.32%	51.16%	1148	0.0	hybrid non-ribosomal peptide synthetase/type I	https://www.ncbi.nlm.nih.gov/protein/WP_075596550?report=genbank
18	1	ctg384_18_33519_36837_neg	100.00%	89.00%	1996	0.0	thioester reductase-like protein [Edaphobacter lichenicola]	https://www.ncbi.nlm.nih.gov/protein/MBB5329397?report=genbank
18	2	ctg384_18_33519_36837_neg	99.73%	85.30%	1931	0.0	thioester reductase domain-containing protein [Edaphobacter	https://www.ncbi.nlm.nih.gov/protein/WP_183765365?report=genbank
18	3	ctg384_18_33519_36837_neg	99.28%	85.96%	1898	0.0	thioester reductase domain-containing protein [Acidobacterium	https://www.ncbi.nlm.nih.gov/protein/WP_186744325?report=genbank
19	1	ctg256_80_95013_98328_pos	100.00%	95.74%	2152	0.0	thioester reductase domain-containing protein [Acidobacteriia	https://www.ncbi.nlm.nih.gov/protein/MBZ5684258?report=genbank
19	2	ctg256_80_95013_98328_pos	98.64%	93.02%	2086	0.0	Thioester reductase domain protein [Candidatus	https://www.ncbi.nlm.nih.gov/protein/SPF44766?report=genbank
19	3	ctg256_80_95013_98328_pos	88.95%	94.81%	1889	0.0	fatty acyl-AMP ligase, partial [Acidobacteria	https://www.ncbi.nlm.nih.gov/protein/PYX75642?report=genbank
22	1	ctg245_92_87259_90487_pos	99.63%	66.57%	1386	0.0	type 2 lantipeptide synthetase LanM	https://www.ncbi.nlm.nih.gov/protein/WP_063678466?report=genbank
22	2	ctg245_92_87259_90487_pos	97.95%	60.63%	1222	0.0	type 2 lantipeptide synthetase LanM	https://www.ncbi.nlm.nih.gov/protein/WP_065162131?report=genbank
22	3	ctg245_92_87259_90487_pos	99.35%	60.59%	1221	0.0	type 2 lantipeptide synthetase LanM	https://www.ncbi.nlm.nih.gov/protein/MBV8755285?report=genbank
24	1	ctg170_46_54541_57526_pos	98.59%	75.94%	1515	0.0	hypothetical protein AUH11_14635 [Acidobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/OLB35454?report=genbank
24	2	ctg170_46_54541_57526_pos	98.89%	76.02%	1511	0.0	acyl-phosphate glycerol 3-phosphate acyltransferase [Acidobacteria	https://www.ncbi.nlm.nih.gov/protein/PYT43769?report=genbank
24	3	ctg170_46_54541_57526_pos	98.89%	75.91%	1508	0.0	acyl-phosphate glycerol 3-phosphate acyltransferase [Acidobacteria	https://www.ncbi.nlm.nih.gov/protein/PYT51275?report=genbank
25	1	ctg191_33_39555_42510_pos	99.49%	83.18%	1662	0.0	hypothetical protein AUH11_14635 [Acidobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/OLB35454?report=genbank
25	2	ctg191_33_39555_42510_pos	99.80%	82.22%	1633	0.0	hypothetical protein DMG48_14485 [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU50179?report=genbank
25	3	ctg191_33_39555_42510_pos	99.80%	81.81%	1625	0.0	acyl-phosphate glycerol 3-phosphate acyltransferase [Acidobacteria	https://www.ncbi.nlm.nih.gov/protein/PYT43769?report=genbank
26	1	ctg42_23_25999_28945_pos	100.00%	79.10%	1591	0.0	hypothetical protein AUH11_14635 [Acidobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/OLB35454?report=genbank
26	2	ctg42_23_25999_28945_pos	100.00%	79.00%	1579	0.0	acyl-phosphate glycerol 3-phosphate acyltransferase [Acidobacteria	https://www.ncbi.nlm.nih.gov/protein/PYT51275?report=genbank
26	3	ctg42_23_25999_28945_pos	100.00%	78.90%	1573	0.0	acyl-phosphate glycerol 3-phosphate acyltransferase [Acidobacteria	https://www.ncbi.nlm.nih.gov/protein/PYT43769?report=genbank
27	1	ctg991_39_35298_38223_neg	90.86%	64.94%	1210	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBL9171198?report=genbank
27	2	ctg991_39_35298_38223_neg	91.99%	61.80%	1140	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBK9992034?report=genbank
27	3	ctg991_39_35298_38223_neg	90.45%	61.29%	1115	0.0	hybrid non-ribosomal peptide synthetase/type I	https://www.ncbi.nlm.nih.gov/protein/WP_007412583?report=genbank
28	1	ctg115557_1_0_2823_pos	96.17%	80.22%	1453	0.0	non-ribosomal peptide synthetase, partial [Mycobacterium	https://www.ncbi.nlm.nih.gov/protein/WP_084247696?report=genbank
28	2	ctg115557_1_0_2823_pos	96.17%	80.22%	1453	0.0	non-ribosomal peptide synthetase, partial [Mycobacterium	https://www.ncbi.nlm.nih.gov/protein/WP_084031257?report=genbank
28	3	ctg115557_1_0_2823_pos	96.17%	80.22%	1452	0.0	MULTISPECIES: non-ribosomal peptide synthetase [Mycobacterium	https://www.ncbi.nlm.nih.gov/protein/WP_084023369?report=genbank
29	1	ctg711_34_49870_52675_pos	98.93%	81.67%	1514	0.0	hypothetical protein DMG79_09110 [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYX49313?report=genbank
29	2	ctg711_34_49870_52675_pos	97.64%	77.44%	1475	0.0	AMP-binding protein [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5686378?report=genbank
29	3	ctg711_34_49870_52675_pos	97.43%	75.90%	1443	0.0	AMP-binding protein [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5680367?report=genbank
31	1	ctg235_25_32104_34813_neg	97.34%	56.84%	962	0.0	AMP-binding protein [Acidimicrobiia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBM3751356?report=genbank
31	2	ctg235_25_32104_34813_neg	97.89%	54.96%	961	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/MCC7185070?report=genbank
31	3	ctg235_25_32104_34813_neg	97.45%	54.92%	959	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBK9239829?report=genbank
32	1	ctg49376_1_0_2664_pos	99.55%	65.28%	1148	0.0	type 2 lantipeptide synthetase LanM	https://www.ncbi.nlm.nih.gov/protein/WP_063678466?report=genbank
32	2	ctg49376_1_0_2664_pos	98.08%	62.10%	1031	0.0	type 2 lantipeptide synthetase LanM	https://www.ncbi.nlm.nih.gov/protein/MBV8755285?report=genbank
32	3	ctg49376_1_0_2664_pos	98.76%	59.89%	999	0.0	type 2 lantipeptide synthetase LanM	https://www.ncbi.nlm.nih.gov/protein/MBI5321457?report=genbank
33	1	ctg76_100_122909_125555_neg	98.18%	68.62%	1230	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT52687?report=genbank
33	2	ctg76_100_122909_125555_neg	96.14%	66.52%	1176	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU51130?report=genbank
33	3	ctg76_100_122909_125555_neg	96.59%	66.14%	1170	0.0	hypothetical protein AUH11_02450 [Acidobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/OLB40169?report=genbank
34	1	ctg536_37_38859_41484_pos	97.14%	50.34%	859	0.0	AMP-binding protein [Verrucomicrobia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBI4662346?report=genbank
34	2	ctg536_37_38859_41484_pos	59.73%	54.22%	566	0.0	hypothetical protein [Bacteroidetes bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBP1654876?report=genbank
35	1	ctg112_90_97018_99619_neg	99.54%	64.92%	1133	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/MCC7043722?report=genbank
35	2	ctg112_90_97018_99619_neg	98.50%	65.26%	1130	0.0	hypothetical protein ABS36_13875 [Acidobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/ODS53706?report=genbank
35	3	ctg112_90_97018_99619_neg	96.54%	66.67%	1100	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/MCC7007940?report=genbank
36	1	ctg271_26_21445_24037_neg	98.96%	79.04%	1384	0.0	AMP-binding protein [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5697771?report=genbank
36	2	ctg271_26_21445_24037_neg	98.73%	77.87%	1369	0.0	AMP-binding protein [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5642293?report=genbank
36	3	ctg271_26_21445_24037_neg	98.96%	76.52%	1342	0.0	AMP-binding protein [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5661659?report=genbank
37	1	ctg42_127_151700_154274_pos	99.65%	69.51%	1244	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT52687?report=genbank
37	2	ctg42_127_151700_154274_pos	98.48%	70.23%	1230	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT40242?report=genbank
37	3	ctg42_127_151700_154274_pos	98.48%	70.23%	1228	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT61181?report=genbank
38	1	ctg53_162_170194_172756_pos	99.77%	80.56%	1392	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT50411?report=genbank
38	2	ctg53_162_170194_172756_pos	99.41%	76.31%	1345	0.0	hypothetical protein AUH11_02450 [Acidobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/OLB40169?report=genbank
38	3	ctg53_162_170194_172756_pos	99.41%	76.19%	1341	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU51130?report=genbank
39	1	ctg41_183_191537_194090_neg	98.94%	65.82%	1133	0.0	AMP-binding protein [bacterium]	https://www.ncbi.nlm.nih.gov/protein/HGH08209?report=genbank
39	2	ctg41_183_191537_194090_neg	98.71%	60.07%	1073	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYS52062?report=genbank
39	3	ctg41_183_191537_194090_neg	99.29%	60.12%	1036	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/MCA1593307?report=genbank
40	1	ctg165_93_101834_104348_neg	99.76%	76.53%	1333	0.0	hypothetical protein AUG13_05650 [Chloroflexi bacterium	https://www.ncbi.nlm.nih.gov/protein/OLE57108?report=genbank
40	2	ctg165_93_101834_104348_neg	99.76%	76.76%	1314	0.0	AMP-binding protein [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5706344?report=genbank
40	3	ctg165_93_101834_104348_neg	99.64%	76.05%	1298	0.0	AMP-binding protein [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5729343?report=genbank
41	1	ctg51604_1_0_2490_neg	98.31%	51.65%	792	0.0	non-ribosomal peptide synthase/polyketide synthase [Tumebacillus	https://www.ncbi.nlm.nih.gov/protein/WP_198299657?report=genbank
41	2	ctg51604_1_0_2490_neg	98.31%	51.65%	792	0.0	hypothetical protein CBW65_18650 [Tumebacillus avium]	https://www.ncbi.nlm.nih.gov/protein/ARU62762?report=genbank
41	3	ctg51604_1_0_2490_neg	99.28%	50.35%	778	0.0	AMP-dependent synthetase and ligase [uncultured	https://www.ncbi.nlm.nih.gov/protein/QEO74780?report=genbank
42	1	ctg119917_1_0_2433_neg	98.03%	55.14%	884	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU33367?report=genbank
42	2	ctg119917_1_0_2433_neg	98.03%	54.43%	872	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU17649?report=genbank
42	3	ctg119917_1_0_2433_neg	98.40%	53.60%	859	0.0	AMP-binding protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBI3894730?report=genbank
44	1	ctg123993_1_0_2370_pos	99.49%	63.32%	1006	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBA3711242?report=genbank
44	2	ctg123993_1_0_2370_pos	98.10%	59.85%	959	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBW4417614?report=genbank
44	3	ctg123993_1_0_2370_pos	95.56%	60.50%	953	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBV9385234?report=genbank
46	1	ctg1685_33_31164_33471_neg	93.10%	96.97%	1450	0.0	squalene--hopene cyclase [Nitrospirae bacterium]	https://www.ncbi.nlm.nih.gov/protein/TMQ31037?report=genbank
46	2	ctg1685_33_31164_33471_neg	94.53%	93.80%	1416	0.0	squalene--hopene cyclase [Nitrospirae bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBU6433937?report=genbank
46	3	ctg1685_33_31164_33471_neg	94.40%	93.66%	1416	0.0	squalene-hopene cyclase [Nitrospira sp.]	https://www.ncbi.nlm.nih.gov/protein/TKS62842?report=genbank
47	1	ctg471_12_10320_12585_pos	99.87%	77.43%	1190	0.0	TOMM precursor leader peptide-binding protein	https://www.ncbi.nlm.nih.gov/protein/MBV8240418?report=genbank
47	2	ctg471_12_10320_12585_pos	99.87%	77.17%	1186	0.0	TOMM precursor leader peptide-binding protein	https://www.ncbi.nlm.nih.gov/protein/TMK17884?report=genbank
47	3	ctg471_12_10320_12585_pos	99.87%	77.43%	1185	0.0	TOMM precursor leader peptide-binding protein	https://www.ncbi.nlm.nih.gov/protein/MBV8288983?report=genbank
48	1	ctg372_51_60828_63087_pos	100.00%	89.89%	1407	0.0	TOMM precursor leader peptide-binding protein	https://www.ncbi.nlm.nih.gov/protein/TMJ46838?report=genbank
48	2	ctg372_51_60828_63087_pos	99.87%	85.17%	1341	0.0	ribosomal protein S12 methylthiotransferase accessory	https://www.ncbi.nlm.nih.gov/protein/SIO55117?report=genbank
48	3	ctg372_51_60828_63087_pos	100.00%	85.24%	1323	0.0	TOMM precursor leader peptide-binding protein	https://www.ncbi.nlm.nih.gov/protein/WP_079536110?report=genbank
49	1	ctg991_40_38223_40368_neg	96.08%	51.16%	721	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/WP_193999866?report=genbank
49	2	ctg991_40_38223_40368_neg	95.52%	51.46%	720	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBW4428173?report=genbank
49	3	ctg991_40_38223_40368_neg	94.26%	52.17%	717	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBZ5536432?report=genbank
50	1	ctg1337_1_1_2116_neg	64.96%	61.62%	559	0.0	hypothetical protein AVDCRST_MAG68-5573, partial [uncultured	https://www.ncbi.nlm.nih.gov/protein/CAA9371895?report=genbank
50	2	ctg1337_1_1_2116_neg	67.23%	58.91%	556	0.0	hypothetical protein [Solirubrobacterales bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBV8734964?report=genbank
50	3	ctg1337_1_1_2116_neg	63.83%	62.53%	547	0.0	non-ribosomal peptide synthetase [Acidobacteriaceae bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBV9678252?report=genbank
51	1	ctg127_43_45052_47149_neg	94.70%	73.07%	1032	0.0	acetoacetate--CoA ligase [Streptosporangiales bacterium]	https://www.ncbi.nlm.nih.gov/protein/MQA83364?report=genbank
51	2	ctg127_43_45052_47149_neg	94.84%	70.85%	1021	0.0	acetoacetate--CoA ligase [Aromatoleum aromaticum] >emb|CAI09393.1|	https://www.ncbi.nlm.nih.gov/protein/WP_011239058?report=genbank
51	3	ctg127_43_45052_47149_neg	95.13%	70.57%	1003	0.0	acetoacetate--CoA ligase [Aromatoleum toluclasticum] >gb|MCC4116699.1|	https://www.ncbi.nlm.nih.gov/protein/WP_228216859?report=genbank
52	1	ctg4_499_551730_553818_neg	96.55%	81.22%	1168	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT50760?report=genbank
52	2	ctg4_499_551730_553818_neg	97.55%	81.42%	1167	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU51397?report=genbank
52	3	ctg4_499_551730_553818_neg	96.55%	81.97%	1166	0.0	squalene--hopene cyclase [Acidobacteria bacterium 13_2_20CM_57_7]	https://www.ncbi.nlm.nih.gov/protein/OLB21789?report=genbank
53	1	ctg2175_24_22572_24645_neg	98.55%	90.59%	1286	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU51397?report=genbank
53	2	ctg2175_24_22572_24645_neg	98.70%	89.43%	1278	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU75730?report=genbank
53	3	ctg2175_24_22572_24645_neg	97.25%	90.91%	1276	0.0	squalene--hopene cyclase [Acidobacteria bacterium 13_2_20CM_57_7]	https://www.ncbi.nlm.nih.gov/protein/OLB21789?report=genbank
55	1	ctg86999_1_0_2031_neg	100.00%	74.15%	1018	0.0	non-ribosomal peptide synthetase, partial [Gemmatimonadetes	https://www.ncbi.nlm.nih.gov/protein/PYO76668?report=genbank
55	2	ctg86999_1_0_2031_neg	100.00%	74.00%	1016	0.0	non-ribosomal peptide synthetase [Gemmatimonadetes bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYO49942?report=genbank
55	3	ctg86999_1_0_2031_neg	100.00%	69.72%	964	0.0	hybrid non-ribosomal peptide synthetase/type I	https://www.ncbi.nlm.nih.gov/protein/WP_079568345?report=genbank
56	1	ctg1597_33_34247_36290_neg	98.68%	84.35%	1194	0.0	squalene--hopene cyclase [Acidobacteria bacterium 13_2_20CM_57_7]	https://www.ncbi.nlm.nih.gov/protein/OLB21789?report=genbank
56	2	ctg1597_33_34247_36290_neg	98.68%	84.20%	1192	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT43592?report=genbank
56	3	ctg1597_33_34247_36290_neg	98.68%	83.90%	1192	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU51397?report=genbank
58	1	ctg21_36_33684_35721_neg	98.82%	75.00%	1055	0.0	squalene--hopene cyclase [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5695329?report=genbank
58	2	ctg21_36_33684_35721_neg	99.12%	72.30%	1025	0.0	squalene--hopene cyclase [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5502336?report=genbank
58	3	ctg21_36_33684_35721_neg	97.20%	64.86%	913	0.0	squalene--hopene cyclase [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5699611?report=genbank
59	1	ctg2825_16_11451_13473_pos	99.41%	85.95%	1212	0.0	squalene--hopene cyclase [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5662774?report=genbank
59	2	ctg2825_16_11451_13473_pos	99.41%	85.50%	1209	0.0	squalene--hopene cyclase [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5644908?report=genbank
59	3	ctg2825_16_11451_13473_pos	100.00%	85.29%	1209	0.0	squalene--hopene cyclase [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5699611?report=genbank
60	1	ctg301_60_76422_78444_pos	99.85%	90.19%	1251	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU25161?report=genbank
60	2	ctg301_60_76422_78444_pos	100.00%	90.64%	1247	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU34951?report=genbank
60	3	ctg301_60_76422_78444_pos	100.00%	89.90%	1236	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU24056?report=genbank
61	1	ctg1447_30_25569_27585_neg	100.00%	81.52%	1157	0.0	squalene--hopene cyclase [Acidobacteria bacterium 13_2_20CM_57_7]	https://www.ncbi.nlm.nih.gov/protein/OLB21789?report=genbank
61	2	ctg1447_30_25569_27585_neg	100.00%	81.52%	1154	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU51397?report=genbank
